year,index,date,N1,N2,N3,N4,N5,N6,S1,color,zodiac,EvO,BS
2007,128,2007-11-01,18,43,24,5,9,12,7,red,snake,odd,small
2007,129,2007-11-04,47,40,13,4,27,25,45,red,rabbit,odd,big
2007,130,2007-11-08,30,37,14,28,6,18,21,green,rabbit,odd,small
2007,131,2007-11-10,15,8,41,1,43,6,2,red,dog,even,small
2007,132,2007-11-13,2,42,30,6,15,38,29,red,goat,odd,big
2007,133,2007-11-15,16,18,41,45,27,12,29,red,goat,odd,big
2007,134,2007-11-18,4,32,25,1,6,20,43,green,snake,odd,big
2007,135,2007-11-20,44,6,22,13,30,14,26,blue,dog,even,big
2007,136,2007-11-22,39,1,12,40,29,48,41,blue,goat,odd,big
2007,137,2007-11-24,40,42,19,5,32,25,4,blue,monkey,even,small
2007,138,2007-11-27,7,45,27,33,35,25,6,green,horse,even,small
2007,139,2007-11-29,13,27,19,10,48,43,8,red,dragon,even,small
2007,140,2007-12-02,29,30,35,18,25,32,39,green,rooster,odd,big
2007,141,2007-12-04,45,26,28,30,23,18,15,blue,rooster,odd,small
2007,142,2007-12-06,5,39,26,46,38,33,47,blue,ox,odd,big
2007,143,2007-12-08,35,14,41,38,42,9,40,red,monkey,even,big
2007,144,2007-12-11,35,16,40,41,18,24,47,blue,ox,odd,big
2007,145,2007-12-13,5,42,23,15,7,18,10,blue,tiger,even,small
2007,146,2007-12-16,17,23,1,44,40,25,26,blue,dog,even,big
2007,147,2007-12-18,2,24,19,40,1,6,44,green,dragon,even,big
2007,148,2007-12-22,1,46,17,9,28,42,32,green,dragon,even,big
2007,149,2007-12-25,21,46,30,1,2,44,33,green,rabbit,odd,big
2007,150,2007-12-27,17,37,48,40,38,7,43,green,snake,odd,big
2007,151,2007-12-29,6,48,12,33,16,41,8,red,dragon,even,small
2007,152,2007-12-31,21,23,45,37,15,16,4,blue,monkey,even,small
2008,1,2008-01-03,36,5,8,42,46,39,14,blue,pig,even,small
2008,2,2008-01-05,3,33,42,14,32,11,15,blue,dog,odd,small
2008,3,2008-01-08,2,14,40,9,45,24,3,blue,dog,odd,small
2008,4,2008-01-10,20,36,46,4,42,47,22,green,rabbit,even,small
2008,5,2008-01-13,8,13,18,22,26,42,43,green,horse,odd,big
2008,6,2008-01-15,15,37,45,10,18,11,26,blue,pig,even,big
2008,7,2008-01-17,36,35,24,40,8,19,23,red,tiger,odd,small
2008,8,2008-01-19,32,4,7,20,34,8,24,red,ox,even,small
2008,9,2008-01-22,9,30,16,49,33,17,41,blue,monkey,odd,big
2008,10,2008-01-24,38,23,26,46,10,42,29,red,monkey,odd,big
2008,11,2008-01-26,19,22,33,13,15,38,39,green,dog,odd,big
2008,12,2008-01-29,43,33,16,24,22,44,29,red,monkey,odd,big
2008,13,2008-01-31,49,24,41,42,32,48,10,blue,rabbit,even,small
2008,14,2008-02-03,46,36,34,1,42,37,39,green,dog,odd,big
2008,15,2008-02-05,6,43,36,48,40,3,8,red,snake,even,small
2008,16,2008-02-08,38,30,2,16,31,48,36,blue,ox,even,big
2008,17,2008-02-10,26,32,39,7,30,24,47,blue,tiger,odd,big
2008,18,2008-02-12,31,23,40,45,12,37,35,red,tiger,odd,big
2008,19,2008-02-14,4,15,39,6,29,33,18,red,goat,even,small
2008,20,2008-02-16,22,5,8,29,2,41,28,green,rooster,even,big
2008,21,2008-02-19,15,38,29,5,32,39,31,blue,horse,odd,big
2008,22,2008-02-21,48,27,24,22,18,30,3,blue,dog,odd,small
2008,23,2008-02-23,14,47,9,33,24,2,48,blue,ox,even,big
2008,24,2008-02-26,39,34,9,23,30,20,13,red,rat,odd,small
2008,25,2008-02-28,6,17,13,35,49,8,45,red,dragon,odd,big
2008,26,2008-03-02,7,22,5,35,32,30,13,red,rat,odd,small
2008,27,2008-03-04,49,5,2,13,21,20,36,blue,ox,even,big
2008,28,2008-03-06,25,7,12,24,39,44,27,green,dog,odd,big
2008,29,2008-03-08,31,16,38,25,49,36,29,red,monkey,odd,big
2008,30,2008-03-11,23,13,5,28,40,15,17,green,monkey,odd,small
2008,31,2008-03-13,36,31,44,33,28,12,7,red,horse,odd,small
2008,32,2008-03-15,10,21,47,22,8,30,28,green,rooster,even,big
2008,33,2008-03-18,37,44,13,23,28,30,49,green,rat,odd,big
2008,34,2008-03-20,12,26,4,33,45,22,8,red,snake,even,small
2008,35,2008-03-22,49,48,18,38,13,32,40,red,rooster,even,big
2008,36,2008-03-25,15,35,7,25,22,14,32,green,snake,even,big
2008,37,2008-03-27,16,32,3,45,4,48,23,red,tiger,odd,small
2008,38,2008-03-29,9,39,30,6,32,48,4,blue,rooster,even,small
2008,39,2008-04-01,49,16,44,27,15,40,31,blue,horse,odd,big
2008,40,2008-04-03,17,28,41,36,6,1,31,blue,horse,odd,big
2008,41,2008-04-08,21,13,11,36,39,40,43,green,horse,odd,big
2008,42,2008-04-13,38,34,23,9,22,1,24,red,ox,even,small
2008,43,2008-04-15,25,38,48,31,8,43,23,red,tiger,odd,small
2008,44,2008-04-17,10,31,7,48,11,27,5,green,monkey,odd,small
2008,45,2008-04-19,16,10,42,19,46,7,20,blue,snake,even,small
2008,46,2008-04-22,14,8,36,40,46,31,9,blue,dragon,odd,small
2008,47,2008-04-24,35,12,31,25,8,13,21,green,dragon,odd,small
2008,48,2008-04-26,19,17,13,32,15,24,9,blue,dragon,odd,small
2008,49,2008-04-29,25,41,22,24,40,20,35,red,tiger,odd,big
2008,50,2008-05-03,39,37,3,5,1,4,8,red,snake,even,small
2008,51,2008-05-06,26,28,13,8,49,7,17,green,monkey,odd,small
2008,52,2008-05-08,16,49,35,31,37,24,39,green,dog,odd,big
2008,53,2008-05-10,49,6,5,41,27,47,40,red,rooster,even,big
2008,54,2008-05-13,8,34,40,37,19,26,29,red,monkey,odd,big
2008,55,2008-05-15,47,45,38,22,7,21,40,red,rooster,even,big
2008,56,2008-05-17,18,24,45,46,48,3,31,blue,horse,odd,big
2008,57,2008-05-20,6,25,1,4,47,23,49,green,rat,odd,big
2008,58,2008-05-22,29,23,34,19,41,1,15,blue,dog,odd,small
2008,59,2008-05-24,12,5,31,1,19,14,45,red,dragon,odd,big
2008,60,2008-05-27,29,24,28,22,23,43,6,green,goat,even,small
2008,61,2008-05-29,39,1,44,49,27,6,36,blue,ox,even,big
2008,62,2008-05-31,42,36,26,11,31,34,13,red,rat,odd,small
2008,63,2008-06-03,41,40,33,5,32,49,30,red,goat,even,big
2008,64,2008-06-07,14,6,39,45,11,23,10,blue,rabbit,even,small
2008,65,2008-06-10,11,7,2,20,29,45,48,blue,ox,even,big
2008,66,2008-06-12,37,6,22,9,4,15,3,blue,dog,odd,small
2008,67,2008-06-14,3,44,41,19,15,40,13,red,rat,odd,small
2008,68,2008-06-17,13,32,3,5,6,31,15,blue,dog,odd,small
2008,69,2008-06-19,2,18,11,45,39,26,24,red,ox,even,small
2008,70,2008-06-21,34,29,13,5,44,1,25,blue,rat,odd,big
2008,71,2008-06-24,9,29,22,27,42,8,38,green,pig,even,big
2008,72,2008-06-27,48,40,33,46,39,8,24,red,ox,even,small
2008,73,2008-06-29,28,7,1,19,34,2,5,green,monkey,odd,small
